scaffold_1	646463	649127	1	1
scaffold_6	15681032	15683395	1	1
scaffold_1	888706	890700	1	1
scaffold_6	15336989	15338176	1	1
scaffold_8	2050640	2052197	1	1
scaffold_1	1165691	1167112	1	1
scaffold_1	1281801	1285334	1	1
scaffold_4	9041935	9045463	1	1
scaffold_1	1309491	1311293	1	1
scaffold_4	9001562	9003485	1	1
scaffold_4	7873159	7879697	1	1
scaffold_1	2095893	2101892	1	1
scaffold_1	2378174	2382270	1	1
scaffold_4	7096264	7102899	1	1
scaffold_1	2475119	2476552	1	1
scaffold_4	6849920	6852152	1	1
scaffold_1	2556429	2561955	1	1
scaffold_4	6678875	6684355	1	1
scaffold_2	3845419	3849529	1	1
scaffold_1	2966345	2970495	1	1
scaffold_1	3215002	3217892	1	1
scaffold_2	2848237	2852451	1	1
scaffold_1	3607293	3609901	1	1
scaffold_2	1967507	1970198	1	1
scaffold_2	1943987	1946061	1	1
scaffold_1	3706127	3708256	1	1
scaffold_5	1853806	1855393	1	1
scaffold_1	4504917	4505957	1	1
scaffold_1	4993354	4995022	1	1
scaffold_5	674027	676524	1	1
scaffold_1	5006490	5009017	1	1
scaffold_5	661649	664373	1	1
scaffold_1	5552881	5555789	1	1
scaffold_2	13726718	13729504	1	1
scaffold_1	6023630	6027778	1	1
scaffold_2	10894290	10898395	1	1
scaffold_2	11046944	11049614	1	1
scaffold_1	6135524	6137001	1	1
scaffold_2	11286859	11289165	1	1
scaffold_1	6232633	6234967	1	1
scaffold_2	11429994	11434956	1	1
scaffold_1	6397804	6402171	1	1
scaffold_2	11680345	11683118	1	1
scaffold_1	6577956	6580108	1	1
scaffold_1	6751573	6754548	1	1
scaffold_2	11830960	11834875	1	1
scaffold_1	7297391	7301724	1	1
scaffold_2	12389096	12393428	1	1
scaffold_2	12883341	12887205	1	1
scaffold_1	7725613	7729617	1	1
scaffold_2	10301305	10304835	1	1
scaffold_1	8128578	8133050	1	1
scaffold_1	8478314	8481158	1	1
scaffold_2	9867954	9870501	1	1
scaffold_4	9567704	9572499	1	1
scaffold_1	10556614	10561716	1	1
scaffold_1	10765670	10769616	1	1
scaffold_4	9669783	9672774	1	1
scaffold_1	17386626	17389965	1	1
scaffold_3	7362416	7366895	1	1
scaffold_1	17624366	17628239	1	1
scaffold_3	5611798	5616523	1	1
scaffold_1	18193916	18198208	1	1
scaffold_1	18213584	18217417	1	1
scaffold_3	5588565	5593308	1	1
scaffold_1	18894209	18895694	1	1
scaffold_3	4922912	4924442	1	1
scaffold_1	19024139	19028310	1	1
scaffold_3	4762453	4765496	1	1
scaffold_1	19490517	19496839	1	1
scaffold_3	4238659	4245960	1	1
scaffold_1	3763753	3764190	1	1
scaffold_2	1810273	1811229	1	1
scaffold_1	4155070	4156370	1	1
scaffold_2	1086341	1091152	1	1
scaffold_1	8225136	8227209	1	1
scaffold_2	10127359	10131246	1	1
scaffold_2	11802832	11804721	1	1
scaffold_1	6726341	6728170	1	1
scaffold_2	12022126	12023769	1	1
scaffold_1	6929867	6931516	1	1
scaffold_2	12282517	12285318	1	1
scaffold_1	7155575	7158304	1	1
scaffold_1	7293605	7295720	1	1
scaffold_2	12386776	12388679	1	1
scaffold_2	12778580	12782417	1	1
scaffold_1	7628086	7631779	1	1
scaffold_1	5658374	5661199	1	1
scaffold_2	13547517	13550315	1	1
scaffold_2	13926373	13929562	1	1
scaffold_1	5394440	5397286	1	1
